moniker,operator_address,staked,delegator_shares,greed,ownership,power,jailed_times_100_000,jailed_times_all,isjailed,validator_rank,cost_optimization,cost_endorsement,decentralization,decentralization_endorsement,confidence,confidence_endorsement,superintelligence,superintelligence_endorsement,reliability,reliability_endorsement,total
baddeepbeat,bostromvaloper13hepw93y8mjcew7mfra5z7ju7k658534lh5rkk,478890865335,478986657099.5955,0.042,0.0217469538800135,2.025042,0,2,False,43.0,566.8934240362811,688590150140,43.0,237099190890,0.7985823726223021,338733193714,0.48073140882042614,65022486442,1.9996000632395243,154619303961,1484064325147
Mordor,bostromvaloper1vmwdqm6c4qq2hw0y2s6fevvf90qrh35srdduj3,111214524807,111270147150.75351,0.04,0.006380786468597441,0.0,0,5,False,71.0,625.0,759170640529,71.0,391489361702,0.3750938007652558,159102837016,0.0,0,1.9990004786949018,154572941018,1464335780265
subi,bostromvaloper1fvh29xlzzatu390p3lpe7uhdsl7dpffct9pjqr,100577225450,100577225450.0,0.05,0.003948773991557747,31.039956,0,0,False,77.0,399.99999999999994,485869209938,77.0,424572969733,0.2524517446240472,107081985086,1.5056919110023896,203655991834,3.0,231975343676,1453155500267
PensionFund4ALL,bostromvaloper1nmr4flrrzrka3lanfwxklunsapr92fqqvewuaj,303263713160,303294042563.05493,0.05,0.010061180641121449,160.811805,0,1,False,50.0,399.99999999999994,485869209938,50.0,275696733593,0.5235226952028484,222061643992,2.209010202439044,298785004065,1.9998000100079212,154634764868,1437047356456
2WAy,bostromvaloper1ahqvg92jdt09dkfwwct0frg0dh2euafktp88qx,70875447399,70875447399.0,0.05,0.011992555012950684,0.0,0,0,False,80.0,399.99999999999994,485869209938,80.0,441114773748,0.5867258516548923,248870408839,0.0,0,3.0,231975343676,1407829736201
UmbrellaIT,bostromvaloper1a37z37ce2qvnvvadky9y7m09qwcz3k0prapt73,101396279849,101396279849.0,0.05,0.012100110544756836,0.0,0,0,False,75.0,399.99999999999994,485869209938,75.0,413545100389,0.5899880991517877,250254150267,0.0,0,3.0,231975343676,1381643804270
qwertys318,bostromvaloper1402rpwdquxxkgvl740f6w69l65eau5vkcztud9,1566590820500,1566590820500.0,0.1,0.010553489643660274,52933.339563,0,0,False,18.0,99.99999999999999,121467302484,18.0,99250824093,0.5404970208935445,229261612023,4.723737498960299,638920511218,3.0,231975343676,1320875593494
POSTCAPITALIST🎩,bostromvaloper1zaefvwrgk2g45k68a3ngahgq0xky5zgeluu86f,885666561112,885666561112.0,0.05,0.0284906319239584,0.0,0,0,False,36.0,399.99999999999994,485869209938,36.0,198501648186,0.8774538198792072,372187948212,0.0,0,3.0,231975343676,1288534150012
CatsRuleTheWorld,bostromvaloper1kn8tm2zj68tnv2vm3t6e5nnjrghqhql295zu9g,404036633761,404077041448.8241,0.05,0.008365992191191931,20.538179999999997,1,1,False,45.0,399.99999999999994,485869209938,45.0,248127060233,0.4601311746986799,195172981118,1.3332090021489806,180326399890,1.4998000100807725,115972207594,1225467858773
Galaxy,bostromvaloper1ngymhfhty76w8r6e8dlyvj68g5zfm09q2p7dmn,273449651069,273476998715.41855,0.05,0.004995090334400678,22.383525000000002,1,1,False,52.0,399.99999999999994,485869209938,52.0,286724602936,0.3079187087427636,130609303677,1.3689099804209623,185155221833,1.4998000103908748,115972207618,1204330546002
777stakes,bostromvaloper19yyulmnkzwyuq9tzfhy4vdvftp0dsdvcqm3dde,358970152922,358970152922.0,0.1,0.007088998308873167,1088.416812,0,0,False,47.0,99.99999999999999,121467302484,47.0,259154929577,0.40686704551806796,172580034910,3.037194073069013,410803011442,3.0,231975343676,1195980622089
Nett,bostromvaloper1njsr8tngxtygsc73mrtn5738ztkzqy7cx7egpg,1304042076930,1304172493679.4053,0.05,0.06612241393851018,0.0,0,1,False,24.0,399.99999999999994,485869209938,24.0,132334432124,0.9923425749624667,420920096911,0.0,0,1.9998000107666358,154634764927,1193758503900
goto5k,bostromvaloper10trdf5eyfcmc9graltx4hmpgznhrm7hd6adf6s,1063129780232,1063129780232.0,0.05,0.01695257426620765,0.0,0,0,False,29.0,399.99999999999994,485869209938,29.0,159904105483,0.713240626107186,302533944463,0.0,0,3.0,231975343676,1180282603560
stardust,bostromvaloper13jh45qvk2fw0fw6l35md22a0hvy02ag0hcq9xc,61410335679,61410335679.0,0.05,0.00016283903824058755,0.0,0,0,False,82.0,399.99999999999994,485869209938,82.0,452142643092,0.011926729683200743,5058938657,0.0,0,3.0,231975343676,1175046135363
	EZStaking.io,bostromvaloper1gjtvly9lel6zskvwtvlg5vhwpu9c9wawqdpmv3,719950880176,720310963006.2015,0.05,0.02472442301431523,0.0,1,5,False,39.0,399.99999999999994,485869209938,39.0,215043452202,0.8382596183555904,355563016943,0.0,0,1.4990004516211979,115910381645,1172386060728
Interstellar,bostromvaloper19wgu7vy9ym07c3h06s49xg89j7v77amsq5uepp,38224592700,38236062269.32567,0.1,0.4704982399197677,0.0,1,3,False,90.0,99.99999999999999,121467302484,90.0,496254120467,0.9999999999999991,424168132590,0.0,0,1.499400155329967,115941288780,1157830844321
elvenValidators,bostromvaloper1z4mr2jta0vfx8hxustn0hhsnmjlek04d7c8zwm,152515047701,152515047701.0,0.1,0.015838662652722373,10.527569999999999,0,0,False,65.0,99.99999999999999,121467302484,65.0,358405753670,0.6887117018624864,292129556472,1.0617377681086588,143607903218,3.0,231975343676,1147585859520
Adorid,bostromvaloper1mnfalar08dsvtwutmh43lnhx2zzmq7xh4xcxt3,1137641796620,1137983157200.3726,0.05,0.023092837019573112,0.0,0,3,False,28.0,399.99999999999994,485869209938,28.0,154390170812,0.8175981598477372,346799084672,0.0,0,1.9994001503813472,154603845677,1141662311099
56f44a744d9b,bostromvaloper1z0tlk26v5cazm9kfjrjvasnm05a9futc36sss7,171684988047,171788034781.49738,0.05,0.008526614904730338,0.0,1,6,False,61.0,399.99999999999994,485869209938,61.0,336350014983,0.4664829254360958,197867191367,0.0,0,1.4988006635219735,115894933007,1135981349295
PLap,bostromvaloper1wm4026rxqcrkh09k806m6y4lys942etxvz4a4p,1529743090984,1530049085377.3987,0.1,0.019611136129206272,1141.213821,0,2,False,20.0,99.99999999999999,121467302484,20.0,110278693437,0.7642543738717573,324172350589,3.057747410904676,413583002735,1.99960006015699,154619303723,1124120652968
0base.vc,bostromvaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4y57nyp,3229843268322,3229843268322.0,0.05,0.027165208386592463,0.0,0,0,False,6.0,399.99999999999994,485869209938,6.0,33083608031,0.8648819616102015,366855366567,0.0,0,3.0,231975343676,1117783528212
CosmoZOO,bostromvaloper1ch4gcnqtzfd6l2kq0qdw7g9hnd09dg34pc4d8n,167336537493,167336537493.0,0.05,0.0015238752027522209,0.0,0,0,False,62.0,399.99999999999994,485869209938,62.0,341863949655,0.10620896649523048,45050458982,0.0,0,3.0,231975343676,1104758962251
A33node,bostromvaloper1nn879nanadz3v2u98halnyqlazxj66da437ws5,153812025640,153827408369.60684,0.08,0.012249312608428632,8.043035,0,1,False,64.0,156.25,189792660132,64.0,352891818999,0.5944709254772225,252155622339,0.9563142117299981,129348585770,1.9998000101459947,154634764879,1078823452119
Karadeniz,bostromvaloper1vcr2hxm439mm5t0knqa335lcgqrnukmzae9nlv,61289755821,61308146244.52507,0.1,0.021334323370757812,0.0,0,3,False,83.0,99.99999999999999,121467302484,83.0,457656577764,0.7923644789086135,336095761349,0.0,0,1.9994001558882166,154603846102,1069823487699
jabbey,bostromvaloper1xwazl8ftks4gn00y5x3c47auquc62ssu7z4kg5,2820864549464,2821146664047.4385,0.069,0.010551487124277413,653.2503389999999,0,1,False,9.0,210.03990758244063,255129809881,9.0,49625412046,0.5404292157300421,229232851233,2.8157439563417865,380850241666,1.9998000100588116,154634764872,1069473079698
